samples	Clade	total_length	gc_content	num_genes	avg_gene_length	num_genes_per_kb	Q-Depth-effect-Welch-test	Q-Location-effect-ANOVA-test	Depth-effect	Location-effect	ANE_004_40M	ION_39_25M	ION_41_60M	ION_42_80M	IOS_52_75M	IOS_58_66M	IOS_64_65M	IOS_65_30M	MED_18_60M	MED_25_50M	MED_30_70M	ANE_150_40M	PON_133_45M	PON_137_40M	PON_138_60M	PSE_100_50M	PSE_102_40M	PSE_109_30M	PSE_110_50M	PSE_111_90M	PSE_93_35M	PSW_128_40M	ANE_151_80M	RED_32_80M	RED_34_60M	SOC_85_90M	ANE_004_05M	ANE_150_05M	ANE_151_05M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ASE_66_30M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_67_05M	ASE_68_05M	ASE_70_05M	ASW_72_05M	ASW_76_05M	ASW_78_05M	ASE_68_50M	ASW_82_05M	ION_36_05M	ION_38_05M	ION_41_05M	ION_42_05M	ION_45_05M	ION_48_05M	IOS_52_05M	IOS_56_05M	IOS_57_05M	ASW_72_100M	IOS_62_05M	IOS_64_05M	IOS_65_05M	MED_18_05M	MED_23_05M	MED_25_05M	MED_30_05M	PON_132_05M	PON_133_05M	PON_137_05M	ASW_82_40M	PON_138_05M	PON_140_05M	PSE_100_05M	PSE_102_05M	PSE_109_05M	PSE_110_05M	PSE_111_05M	PSE_93_05M	PSE_94_05M	PSE_96_05M	ION_36_17M	PSE_98_05M	PSE_99_05M	PSW_112_05M	PSW_122_05M	PSW_123_05M	PSW_124_05M	PSW_125_05M	PSW_128_05M	RED_31_05M	RED_32_05M	ION_38_25M	RED_33_05M	RED_34_05M	SOC_84_05M	SOC_85_05M	HLIPs	Distribution_average
MIT9202	HL_II	1691453	0.310966069	1918	789.3096976	0.035041599	0.019979739	2.10E-05	1	1	0.0000	0.3035	0.0741	0.1057	0.2278	0.4463	0.2192	0.0407	0.0000	0.0000	0.0000	0.0412	0.0000	0.0000	0.0000	0.0000	0.0185	0.0316	0.0188	0.0000	0.0000	0.0602	0.0000	0.0501	0.0000	0.0000	0.0000	0.0319	0.0000	0.0000	0.0725	0.2556	0.0000	0.0000	0.0366	0.0766	0.0173	0.0000	0.0000	0.0000	0.0328	0.4364	0.2897	0.3882	0.0000	0.0000	0.0000	0.2915	0.6539	0.5295	0.9963	0.9629	0.1713	0.6362	0.4011	0.0334	0.4143	0.6203	0.0728	0.0000	0.0000	0.0000	0.0000	0.7023	0.0000	0.1389	0.0000	1.0510	0.2469	0.0000	0.0389	0.1679	0.0539	0.0000	0.0000	0.0000	0.1439	0.0111	0.4590	0.9178	0.6953	0.0000	0.0000	0.0000	0.0000	0.0531	0.8333	0.7323	0.2349	0.2560	0.1462	0.0000	0.0000	9	0.1714
MIT9211	LL_III	1688963	0.380095366	1740	860.1706897	0.031789563	1	1	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2	0.0000
MIT9215	HL_II	1738790	0.311450491	1951	797.4341363	0.035644505	0.030759066	3.15E-05	1	1	0.0000	0.3061	0.0731	0.1025	0.2234	0.4429	0.2196	0.0405	0.0000	0.0000	0.0000	0.0417	0.0000	0.0000	0.0000	0.0000	0.0177	0.0293	0.0185	0.0000	0.0000	0.0577	0.0000	0.0499	0.0000	0.0000	0.0000	0.0324	0.0000	0.0000	0.0707	0.2503	0.0000	0.0000	0.0362	0.0755	0.0173	0.0000	0.0000	0.0000	0.0323	0.4295	0.2821	0.3778	0.0000	0.0000	0.0000	0.2950	0.6403	0.5158	0.9791	0.9420	0.1657	0.6263	0.3975	0.0328	0.4081	0.6155	0.0722	0.0000	0.0000	0.0000	0.0000	0.6745	0.0000	0.1326	0.0000	1.0150	0.2437	0.0000	0.0365	0.1620	0.0521	0.0000	0.0000	0.0000	0.1384	0.0000	0.4354	0.8755	0.6608	0.0000	0.0000	0.0000	0.0000	0.0508	0.8194	0.7195	0.2390	0.2542	0.1449	0.0000	0.0000	9	0.1674
MIT9301	HL_II	1641879	0.313398856	1846	805.7713976	0.033726169	0.014928315	5.87E-14	1	1	0.0000	0.8783	0.1389	0.2168	0.3011	1.3074	0.6185	0.1118	0.0000	0.0000	0.0000	0.0908	0.0000	0.0000	0.0000	0.0000	0.0162	0.0257	0.0154	0.0000	0.0000	0.0267	0.0000	0.1432	0.0000	0.0000	0.0000	0.0665	0.0169	0.0000	0.2491	0.8688	0.0000	0.0000	0.1197	0.2496	0.0429	0.0000	0.0000	0.0000	0.0262	1.0433	0.7559	1.0522	0.0000	0.0000	0.0309	0.7404	2.0500	1.6425	3.1172	2.9431	0.1916	1.7275	1.1941	0.0652	1.2347	1.7561	0.2101	0.0000	0.0000	0.0000	0.0000	2.1410	0.0000	0.1617	0.0000	1.4238	0.7478	0.0000	0.0339	0.2517	0.0446	0.0000	0.0000	0.0000	0.2765	0.0281	0.9044	1.1358	1.0937	0.0000	0.0000	0.0000	0.0000	0.0292	2.5354	2.2242	0.5891	0.7894	0.4447	0.0000	0.0000	7	0.4316
MIT9302	HL_II	1745343	0.311209315	1957	796.6617271	0.035754124	0.010073116	4.44E-07	1	1	0.0233	0.4344	0.2015	0.2509	0.2614	0.6106	0.3447	0.0593	0.0000	0.0000	0.0000	0.1630	0.0000	0.0000	0.0237	0.0000	0.0354	0.0491	0.0295	0.0000	0.0000	0.0554	0.0000	0.0796	0.0000	0.0000	0.0457	0.1251	0.0336	0.0000	0.0800	0.2940	0.0000	0.0000	0.0626	0.1220	0.0595	0.0000	0.0000	0.0000	0.0322	0.5623	0.4377	0.8515	0.0000	0.0000	0.0000	0.3562	0.7888	0.6094	1.0977	0.9499	0.2093	0.8179	0.5601	0.0556	0.5835	0.9249	0.1094	0.0000	0.0000	0.0000	0.0000	0.8887	0.0000	0.1393	0.0000	0.8794	0.3254	0.0000	0.0598	0.1747	0.0751	0.0000	0.0000	0.0000	0.1709	0.0130	0.5746	0.9373	1.0576	0.0000	0.0000	0.0000	0.0000	0.0606	1.0728	0.9514	0.3111	0.3662	0.2116	0.0000	0.0000	12	0.2222
MIT9303	LL_IV	2682675	0.500075857	2715	823.159116	0.049602681	0.136940587	0.419633234	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0916	0.0000	0.0000	0.0000	0.0654	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0201	0.1172	0.1684	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5	0.0050
MIT9311	HL_II	1711064	0.312068982	1921	801.3498178	0.035096409	0.016513362	2.04E-06	1	1	0.0119	0.2340	0.1148	0.1460	0.1514	0.3262	0.1844	0.0327	0.0000	0.0000	0.0000	0.0718	0.0000	0.0000	0.0000	0.0000	0.0220	0.0372	0.0208	0.0000	0.0000	0.0371	0.0000	0.0441	0.0000	0.0000	0.0231	0.0542	0.0197	0.0000	0.0412	0.1484	0.0000	0.0000	0.0306	0.0596	0.0271	0.0000	0.0000	0.0000	0.0191	0.3036	0.2317	0.4305	0.0000	0.0000	0.0000	0.1884	0.4170	0.3230	0.5724	0.5046	0.1329	0.4303	0.2955	0.0329	0.3060	0.4876	0.0594	0.0000	0.0000	0.0000	0.0000	0.4481	0.0000	0.0854	0.0000	0.4785	0.1732	0.0000	0.0389	0.0993	0.0481	0.0000	0.0000	0.0000	0.0932	0.0000	0.3131	0.5238	0.6076	0.0000	0.0000	0.0000	0.0000	0.0408	0.5636	0.4970	0.1705	0.1811	0.1037	0.0000	0.0000	14	0.1187
MIT9312	HL_II	1709204	0.312104933	1900	809.6226316	0.034712742	0.115979168	1.99E-05	0	1	0.0084	0.2205	0.1052	0.1279	0.1366	0.3043	0.1717	0.0294	0.0000	0.0000	0.0000	0.0654	0.0000	0.0000	0.0000	0.0000	0.0174	0.0170	0.0124	0.0000	0.0000	0.0209	0.0000	0.0408	0.0000	0.0000	0.0171	0.0491	0.0140	0.0000	0.0394	0.1404	0.0000	0.0000	0.0294	0.0572	0.0259	0.0000	0.0000	0.0000	0.0173	0.2836	0.2216	0.4150	0.0000	0.0000	0.0000	0.1781	0.3888	0.3001	0.5412	0.4765	0.0831	0.4018	0.2763	0.0280	0.2862	0.4660	0.0554	0.0000	0.0000	0.0000	0.0000	0.4251	0.0000	0.0634	0.0000	0.4460	0.1629	0.0000	0.0266	0.0837	0.0344	0.0000	0.0000	0.0000	0.0875	0.0000	0.2978	0.5010	0.5811	0.0000	0.0000	0.0000	0.0000	0.0198	0.5298	0.4645	0.1614	0.1718	0.0988	0.0000	0.0000	14	0.1099
MIT9313	LL_IV	2410873	0.507397738	2556	788.1443662	0.046697772	0.121114826	0.151842809	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0291	0.0000	0.0000	0.0000	0.0461	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1904	0.2681	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5	0.0057
MIT9314	HL_II	1690556	0.311843152	1924	793.9568607	0.035151218	0.014656105	2.76E-14	1	1	0.0000	1.0098	0.1560	0.2514	0.3545	1.5916	0.7242	0.1323	0.0000	0.0000	0.0000	0.1218	0.0000	0.0000	0.0000	0.0000	0.0199	0.0299	0.0184	0.0000	0.0000	0.0267	0.0000	0.1803	0.0000	0.0000	0.0000	0.0898	0.0250	0.0000	0.3406	1.1416	0.0000	0.0000	0.1493	0.3224	0.0517	0.0000	0.0000	0.0000	0.0307	1.2785	0.8980	1.2001	0.0000	0.0000	0.0350	0.8375	2.3980	1.9944	3.6918	3.5182	0.2265	2.0154	1.3927	0.0794	1.4501	2.0444	0.2465	0.0000	0.0000	0.0000	0.0000	2.5472	0.0000	0.1527	0.0000	1.6961	0.8083	0.0000	0.0393	0.2940	0.0501	0.0000	0.0000	0.0000	0.3827	0.0322	1.1320	1.1115	1.2798	0.0000	0.0000	0.0000	0.0000	0.0309	3.0386	2.6893	0.6496	0.8932	0.5081	0.0000	0.0000	10	0.5098
MIT9321	HL_II	1658664	0.311954682	1884	797.1019108	0.034420424	0.006006012	6.35E-09	1	1	0.0000	0.1831	0.0404	0.0578	0.0779	0.2707	0.1315	0.0251	0.0000	0.0000	0.0000	0.0217	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0299	0.0000	0.0000	0.0000	0.0165	0.0000	0.0000	0.0460	0.1575	0.0000	0.0000	0.0221	0.0470	0.0000	0.0000	0.0000	0.0000	0.0000	0.2385	0.1569	0.2097	0.0000	0.0000	0.0000	0.1674	0.4009	0.3223	0.6028	0.5567	0.0595	0.3638	0.2404	0.0162	0.2528	0.3657	0.0437	0.0000	0.0000	0.0000	0.0000	0.3836	0.0000	0.0418	0.0000	0.3503	0.1474	0.0000	0.0000	0.0657	0.0160	0.0000	0.0000	0.0000	0.0628	0.0000	0.2018	0.2547	0.2708	0.0000	0.0000	0.0000	0.0000	0.0000	0.4920	0.4329	0.1320	0.1529	0.0885	0.0000	0.0000	7	0.0884
MIT9322	HL_II	1657550	0.312079274	1881	797.5502392	0.034365614	0.006996583	9.58E-09	1	1	0.0000	0.1914	0.0443	0.0629	0.0832	0.2825	0.1381	0.0264	0.0000	0.0000	0.0000	0.0233	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0310	0.0000	0.0000	0.0000	0.0176	0.0000	0.0000	0.0478	0.1633	0.0000	0.0000	0.0229	0.0491	0.0103	0.0000	0.0000	0.0000	0.0000	0.2503	0.1660	0.2226	0.0000	0.0000	0.0000	0.1749	0.4172	0.3351	0.6286	0.5788	0.0635	0.3820	0.2517	0.0171	0.2629	0.3836	0.0461	0.0000	0.0000	0.0000	0.0000	0.4028	0.0000	0.0448	0.0000	0.3697	0.1542	0.0000	0.0145	0.0685	0.0176	0.0000	0.0000	0.0000	0.0676	0.0000	0.2163	0.2790	0.2940	0.0000	0.0000	0.0000	0.0000	0.0000	0.5155	0.4513	0.1374	0.1614	0.0920	0.0000	0.0000	7	0.0931
MIT9401	HL_II	1666808	0.312110333	1893	796.748019	0.034584853	0.004176195	1.14E-08	1	1	0.0000	0.1831	0.0398	0.0574	0.0799	0.2751	0.1349	0.0256	0.0000	0.0000	0.0000	0.0224	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0299	0.0000	0.0000	0.0000	0.0172	0.0000	0.0000	0.0477	0.1639	0.0000	0.0000	0.0228	0.0486	0.0100	0.0000	0.0000	0.0000	0.0000	0.2479	0.1640	0.2184	0.0000	0.0000	0.0000	0.1722	0.4152	0.3340	0.6262	0.5790	0.0623	0.3752	0.2425	0.0167	0.2611	0.3804	0.0456	0.0000	0.0000	0.0000	0.0000	0.4010	0.0000	0.0432	0.0000	0.3620	0.1517	0.0000	0.0000	0.0676	0.0171	0.0000	0.0000	0.0000	0.0661	0.0000	0.2102	0.2673	0.2842	0.0000	0.0000	0.0000	0.0000	0.0000	0.5093	0.4504	0.1329	0.1595	0.0914	0.0000	0.0000	7	0.0915
